sku,ean,brand,product_name,description,category,size,color,price,list_price,availability,image_url,deeplink_url
S0-00209,4422041253196,Jack&Jones,Jack&Jones Bootcut Classic,"Jack & Jones Bootcut Classic. klassische Passform, tief sitzend. Flared, Used Look. Material: 99% Cotton, 1% Elastane. Verschluss: Knopfleiste. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W29/L30,hellblau,77.75,86.77,in stock,https://picsum.photos/seed/0-209/400/500,https://awin-tracking.example.com/click?sku=S0-00209
S0-00210,4984701071797,REPLAY,REPLAY Baggy Wide Leg,"Replay Baggy Wide Leg. Skinny Fit, tief sitzend. verjüngtes Bein, stone washed. Material: 100% Cotton. Verschluss: Reißverschluss. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,34x30,grau,49.19,94.21,in stock,https://picsum.photos/seed/0-210/400/500,https://awin-tracking.example.com/click?sku=S0-00210
S0-00211,4800021067068,WRANGLER,WRANGLER Loose Tapered,"Wrangler Loose Tapered. weites Bein, Low Waist. Flared, used waschung. Material: 100% Cotton. Verschluss: Knopfleiste. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,29/32,khaki,62.33,89.13,in stock,https://picsum.photos/seed/0-211/400/500,https://awin-tracking.example.com/click?sku=S0-00211
S0-00212,4444558300629,Tommy Hilfiger,Tommy Hilfiger Skinny Fit,"Tommy Hilfiger Skinny Fit. Regular Fit, High Waist. Bootcut, Used Look. Material: 80% Baumwolle, 18% Polyester, 2% Elasthan. Verschluss: Reißverschluss.",Herrenjeans,W 34 L 36,hellblau,28.06,49.10,in stock,https://picsum.photos/seed/0-212/400/500,https://awin-tracking.example.com/click?sku=S0-00212
S0-00213,4435961198167,CK,CK Loose Tapered,"Calvin Klein Loose Tapered. Straight Fit, high rise. Flared, Light Wash. Material: 100% Baumwolle. Verschluss: Knopfleiste. Bio-Baumwolle. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W28/L36,indigo,61.66,98.94,in stock,https://picsum.photos/seed/0-213/400/500,https://awin-tracking.example.com/click?sku=S0-00213
S0-00214,4821449689442,Lee,Lee Straight Fit,"Lee Straight Fit. gerades Bein, High Waist. Schlaghose, Light Wash. Material: 100% Cotton. Verschluss: Reißverschluss. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,36x32,indigo,89.10,136.05,in stock,https://picsum.photos/seed/0-214/400/500,https://awin-tracking.example.com/click?sku=S0-00214
S0-00215,4949273896633,Nudie Jeans,Nudie Jeans Relaxed Straight,"Nudie Jeans Relaxed Straight. entspannte Passform, High Waist. Tapered Leg, Light Wash. Material: 80% Baumwolle, 18% Polyester, 2% Elasthan. Verschluss: Reißverschluss. Stretchanteil für hohen Tragekomfort.",Herrenjeans,31/32,indigo,73.77,73.77,in stock,https://picsum.photos/seed/0-215/400/500,https://awin-tracking.example.com/click?sku=S0-00215
S0-00216,4744327045483,REPLAY,REPLAY Baggy Wide Leg,"Replay Baggy Wide Leg. slim cut, Mid Waist. Flared, mittlere Waschung. Material: 100% Cotton. Verschluss: Knopfleiste. GOTS zertifiziert.",Herrenjeans,32x34,indigo,71.77,101.58,in stock,https://picsum.photos/seed/0-216/400/500,https://awin-tracking.example.com/click?sku=S0-00216
S0-00217,4359233619065,Hugo Boss,Hugo Boss Bootcut Classic,"BOSS Bootcut Classic. entspannte Passform, high rise. gerades Bein, Light Wash. Material: 99% Cotton, 1% Elastane. Verschluss: Knopfleiste. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W32/L34,khaki,118.82,118.82,out of stock,https://picsum.photos/seed/0-217/400/500,https://awin-tracking.example.com/click?sku=S0-00217
S0-00218,,Lee,Lee Baggy Wide Leg,"Lee Baggy Wide Leg. straight leg, hohe Bundhöhe. verjüngtes Bein, stone washed. Material: 100% Cotton. Verschluss: Knopfleiste. GOTS zertifiziert.",Herrenjeans,31x30,grau,148.12,148.12,in stock,https://picsum.photos/seed/0-218/400/500,https://awin-tracking.example.com/click?sku=S0-00218
S0-00219,4523062150007,WRANGLER,WRANGLER Baggy Wide Leg,"Wrangler Baggy Wide Leg. entspannte Passform, Low Waist. Tapered Leg, dunkel gewaschen. Material: 80% Baumwolle, 18% Polyester, 2% Elasthan. Verschluss: Knopfleiste. Stretchanteil für hohen Tragekomfort.",Herrenjeans,34/30,hellblau,57.67,96.12,in stock,https://picsum.photos/seed/0-219/400/500,https://awin-tracking.example.com/click?sku=S0-00219
